ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x
1471-1842,INFO MAN,Health Information and Libraries Journal,Wiley-Blackwell,scopus,WoS,2,2,2,NA,49,55,44,62,Health Information and Libraries Journal,HEALTH INFO LIBR J,1471-1834,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1952,3.55,0.78,12.7%,32/84,3.102,Q2,3.263,1.609,44/164,Q2,73.48,0.001,0.268,0.791,62.5,Q2,Q2,46,84.78%,12.1,5.6,39,NA,NA
2047-6973,INFO MAN,Health Systems,Taylor & Francis,scopus,,2,2,2,NA,NA,NA,NA,NA,Health Systems,HEALTH SYST,2047-6965,HEALTH POLICY & SERVICES - ESCI,320,NA,0.68,11.25%,NA,NA,NA,NA,NA,68/114,Q3,40.79,0,0.101,0.452,NA,NA,Q1,27,100%,3.6,8.2,27,NA,NA
1758-5783,INFO MAN,Industrial Management and Data Systems,Emerald,scopus,WoS,2,2,2,1,24,34,25,26,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,0263-5577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",7415,4.803,0.84,1.12%,37/112,7.359,Q1,4.28,0.495,62/156,Q2,60.58,0.006,1.21,1.059,67.41,Q2,Q2,103,95.15%,5.7,6.5,98,NA,NA
1873-5371,INFO MAN,Information Processing and Management,Elsevier,scopus,WoS,2,2,2,3,29,9,26,21,INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8549,7.466,2.15,6.34%,20/164,7.036,Q1,5.91,2.808,13/246,Q1,94.92,0.006,1.341,1.069,88.11,Q1,Q1,338,97.63%,3.7,4.3,330,NA,NA
1617-9854,INFO MAN,Information Systems and e-Business Management,Springer Nature,scopus,WoS,2,2,2,NA,45,49,53,51,Information Systems and E-Business Management,INF SYST E-BUS MANAG,1617-9846,BUSINESS - SSCI,1066,2.775,0.68,13.33%,121/154,3.976,Q3,2.718,0.51,137/296,Q2,53.89,0.001,0.195,0.572,21.75,Q4,Q4,49,95.92%,4.8,8.8,47,NA,NA
1934-8703,INFO MAN,Information Systems Management,Taylor & Francis,scopus,WoS,2,2,2,2,37,44,46,50,INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,1058-0530,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1344,3.882,0.83,8.16%,67/164,3.951,Q2,3.763,0.318,94/246,Q2,61.99,0.001,0.182,0.619,59.45,Q2,Q2,22,90.91%,7.4,10.1,20,NA,NA
1554-0170,INFO MAN,Information Technology for Development,Taylor & Francis,scopus,WoS,2,2,2,NA,43,40,47,48,Information Technology for Development,INFORM TECHNOL DEV,0268-1102,DEVELOPMENT STUDIES - SSCI,1441,4.261,1.24,12%,9/42,4.674,Q1,3.772,0.818,9/60,Q1,85.83,0.001,0.309,0.786,79.76,Q1,Q2,33,96.97%,4.7,8.1,32,NA,NA
1873-7951,INFO MAN,Interacting with Computers,Oxford University Press,scopus,WoS,2,2,2,2,41,36,52,47,INTERACTING WITH COMPUTERS,INTERACT COMPUT,0953-5438,"COMPUTER SCIENCE, CYBERNETICS - SCIE",1779,1.623,0.3,9.09%,21/24,1.532,Q4,1.594,0.211,23/32,Q3,29.69,0.001,0.14,0.339,14.58,Q4,Q3,19,100%,11.4,9.7,19,NA,NA
1095-9300,INFO MAN,International Journal of Human Computer Studies,Elsevier,scopus,WoS,2,3,3,3,27,20,32,23,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,"COMPUTER SCIENCE, CYBERNETICS - SCIE",6726,4.866,1.2,14.5%,6/24,4.435,Q2,4.616,1.533,4/32,Q1,89.06,0.004,0.81,0.88,77.08,Q1,Q2,107,97.2%,10.5,8.6,104,NA,NA
1873-4707,INFO MAN,International Journal of Information Management,Elsevier,scopus,WoS,2,2,2,2,9,4,21,4,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,17621,18.958,5.51,9.19%,1/84,16.58,Q1,16.913,7.545,1/164,Q1,99.7,0.016,3.451,2.403,99.4,Q1,Q1,165,90.91%,3.2,6.7,150,NA,NA
2380-2057,INFO MAN,Journal of Computer Information Systems,Taylor & Francis,scopus,WoS,2,2,2,2,42,42,36,38,JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,0887-4417,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2490,3.317,0.89,1.61%,83/164,3.556,Q2,2.921,0.761,83/246,Q2,66.46,0.001,0.259,0.512,49.7,Q3,Q3,109,95.41%,8.2,8.9,104,NA,NA
1758-7379,INFO MAN,Journal of Documentation,Emerald,scopus,WoS,2,,,NA,44,37,27,49,JOURNAL OF DOCUMENTATION,J DOC,0022-0418,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,2752,2.034,0.54,7.82%,47/84,1.96,Q3,1.646,0.397,66/164,Q2,60.06,0.002,0.388,0.501,44.64,Q3,Q3,116,91.38%,13.6,8.5,106,NA,NA
1758-7409,INFO MAN,Journal of Enterprise Information Management,Emerald,scopus,WoS,2,2,2,1,NA,38,40,31,Journal of Enterprise Information Management,J ENTERP INF MANAG,1741-0398,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,3113,5.661,1.31,0.37%,16/84,5.639,Q2,4.776,1.523,28/164,Q1,83.23,0.002,0.431,0.669,81.55,Q1,Q2,86,95.35%,4.4,4.5,82,NA,NA
1533-7995,INFO MAN,Journal of Global Information Management,IGI Global Publishing,scopus,WoS,2,2,2,2,55,64,63,55,Journal of Global Information Management,J GLOB INF MANAG,1062-7375,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,961,3.474,0.84,73.5%,33/84,3.052,Q2,2.128,0.82,39/164,Q1,76.52,0,0.083,0.262,61.31,Q2,Q4,122,91.8%,4.1,8.8,112,NA,NA
2333-6846,INFO MAN,Journal of Global Information Technology Management,Taylor & Francis,scopus,WoS,2,2,2,NA,51,68,64,68,Journal of Global Information Technology Management,J GLOB INF TECH MAN,1097-198X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,524,3.444,0.95,2.63%,34/84,3.761,Q2,3.148,0.091,37/164,Q1,77.74,0,0.083,0.608,60.12,Q2,Q2,11,90.91%,6.3,8.5,10,NA,NA
1741-6485,INFO MAN,Journal of Information Science,SAGE,scopus,WoS,2,2,2,2,36,33,38,36,JOURNAL OF INFORMATION SCIENCE,J INF SCI,0165-5515,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2900,2.462,0.81,6.48%,112/164,3.168,Q3,2.211,0.746,96/246,Q1,61.18,0.002,0.405,0.596,32.01,Q3,Q3,122,98.36%,8.4,7.5,120,NA,NA
1873-1228,INFO MAN,Journal of Systems and Software,Elsevier,scopus,WoS,2,2,2,NA,30,10,30,22,JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE",7681,3.514,1.11,12.93%,29/110,3.572,Q2,3.258,0.677,22/133,Q1,83.83,0.007,1.44,0.705,74.09,Q2,Q2,232,92.24%,6.2,7.1,214,NA,NA
1540-1979,INFO MAN,MIS Quarterly Executive,Indiana University Press,scopus,WoS,2,2,2,NA,31,24,20,33,MIS Quarterly Executive,MIS Q EXEC,1540-1960,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1424,6.353,1.33,0%,15/84,9.988,Q1,5.971,0.471,27/164,Q1,83.84,0.002,0.371,2.116,82.74,Q1,Q1,17,100%,5.4,4.6,17,NA,NA
1943-7544,INFO MAN,Pacific Asia Journal of the Association for Information Sys- tems,Association for Information Systems,,,2,2,2,NA,NA,NA,NA,NA,Pacific Asia Journal of the Association for Information Systems,PAC ASIA J ASSOC INF,1943-7536,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,145,NA,0.45,0%,NA,NA,NA,NA,NA,74/164,Q2,55.18,0,0.032,0.2,NA,NA,Q2,4,75%,4.5,7.5,3,NA,NA
1432-010X,INFO MAN,Requirements Engineering,Springer Nature,scopus,WoS,2,2,2,NA,33,5,35,30,REQUIREMENTS ENGINEERING,REQUIR ENG,0947-3602,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",829,2.275,0.9,26.03%,116/164,2.882,Q3,1.961,0.409,82/246,Q2,66.87,0.001,0.134,0.551,29.57,Q3,Q3,22,95.45%,7.5,8.9,21,NA,NA
1326-2238,INFO MAN,Australasian Journal of Information Systems,"UQ Business School, The University of Queensland",scopus,,1,1,1,NA,NA,73,70,70,Australasian Journal of Information Systems,AUSTRALAS J INF SYST,1449-8618,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",427,NA,0.37,65.09%,NA,NA,NA,NA,NA,179/246,Q3,27.44,0,0.105,0.33,NA,NA,Q2,32,100%,4.4,8.2,32,NA,NA
1572-8439,INFO MAN,Ethics and Information Technology,Springer Nature,scopus,WoS,1,1,1,1,40,32,43,41,Ethics and Information Technology,ETHICS INF TECHNOL,1388-1957,ETHICS - SSCI,1876,3.633,3.11,51.66%,10/56,4.795,Q1,3.456,1.049,2/75,Q1,98,0.002,0.491,1.45,83.04,Q1,Q1,61,93.44%,7.4,6.7,57,NA,NA
1873-6793,INFO MAN,Expert Systems with Applications,Elsevier,scopus,WoS,1,3,3,3,18,6,19,7,EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",64974,8.665,1.81,3.41%,21/145,8.093,Q1,7.494,2.043,21/190,Q1,89.21,0.039,8.443,1.239,85.86,Q1,Q2,1864,96.89%,6.3,6.2,NA,NA,NA
1532-7051,INFO MAN,Human-Computer Interaction,Taylor & Francis,scopus,WoS,1,1,1,1,6,15,34,24,HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,"COMPUTER SCIENCE, CYBERNETICS - SCIE",1950,6.459,0.94,22.39%,4/24,5.727,Q1,6.297,1.067,7/32,Q1,79.69,0.001,0.202,1.286,85.42,Q1,Q1,30,96.67%,13.1,9.1,29,NA,NA
2056-4961,INFO MAN,Information and Computer Security,Emerald,scopus,,1,1,1,1,NA,NA,NA,NA,Information and Computer Security,INF COMPUT SECUR,2056-4961,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",420,NA,0.4,4.69%,NA,NA,NA,NA,NA,173/246,Q3,29.88,0.001,0.109,0.307,NA,NA,Q2,53,96.23%,3.8,7.5,51,NA,NA
1368-1613,INFO MAN,Information Research,University of Boras,scopus,WoS,1,1,1,1,54,56,55,65,INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,INFORM RES,1368-1613,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1198,0.744,0.21,33.33%,68/84,0.97,Q4,0.687,0.333,112/164,Q3,32.01,0.001,0.216,0.247,19.64,Q4,Q4,30,100%,8.2,9.1,30,NA,NA
1533-7979,INFO MAN,Information Resources Management Journal,IGI Global Publishing,scopus,,1,1,1,1,NA,76,74,75,Information Resources Management Journal,INF RESOUR MANAG J,1040-1628,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,303,NA,0.35,1.96%,NA,NA,NA,NA,NA,83/164,Q3,49.7,0,0.025,0.141,NA,NA,Q3,16,100%,12.2,8.3,16,NA,NA
1943-4294,INFO MAN,Information Technology & Tourism,Springer Nature,scopus,WoS,1,,,NA,NA,59,56,53,Information Technology & Tourism,INF TECHNOL TOUR,1098-3058,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",801,6.093,1.3,18.06%,18/58,4.925,Q2,5.667,0.833,23/132,Q1,82.95,0.001,0.192,0.783,69.83,Q2,Q2,18,94.44%,3.6,6.2,17,NA,NA
1573-7667,INFO MAN,Information Technology and Management,Springer Nature,scopus,WoS,1,,,NA,NA,47,50,40,Information Technology & Management,INFORM TECHNOL MANAG,1385-951X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,877,2.31,0.57,8.33%,45/84,2.489,Q3,1.897,0.323,62/164,Q2,62.5,0,0.06,0.315,47.02,Q3,Q3,31,100%,9.3,9.8,31,NA,NA
1548-114X,INFO MAN,International Journal of e-Business Research,IGI Global Publishing,scopus,,1,1,,NA,NA,72,72,63,International Journal of E-Business Research,INT J E-BUS RES,1548-1131,BUSINESS - ESCI,216,NA,0.25,0%,NA,NA,NA,NA,NA,232/296,Q4,21.79,0,0.03,0.147,NA,NA,Q3,20,95%,5.1,10.4,19,NA,NA
1548-1123,INFO MAN,International Journal of Enterprise Information Systems,IGI Global Publishing,scopus,,1,1,,NA,NA,61,67,57,International Journal of Enterprise Information Systems,INT J ENTERP INF SYS,1548-1115,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",232,NA,0.34,2.5%,NA,NA,NA,NA,NA,184/246,Q3,25.41,0,0.027,0.107,NA,NA,Q3,28,96.43%,4.3,6.6,27,NA,NA
1935-5696,INFO MAN,International Journal of Information Systems in the Service Sector,IGI Global Publishing,scopus,,1,1,,NA,NA,71,69,74,International Journal of Information Systems in the Service Sector,INT J INF SYST SERV,1935-5688,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",152,NA,0.26,3.13%,NA,NA,NA,NA,NA,198/246,Q4,19.72,0,0.019,0.094,NA,NA,Q3,20,95%,4.1,6.9,19,NA,NA
1548-0658,INFO MAN,International Journal of Knowledge Management,IGI Global Publishing,scopus,,1,,,NA,NA,60,57,59,International Journal of Knowledge Management,INT J KNOWL MANAG,1548-0666,MANAGEMENT - ESCI,373,NA,0.44,1.41%,NA,NA,NA,NA,NA,258/393,Q3,34.48,0,0.036,0.168,NA,NA,Q3,24,95.83%,5.7,11.9,23,NA,NA
1744-0092,INFO MAN,International Journal of Web Information Systems,Emerald,scopus,,1,1,,NA,NA,67,73,67,International Journal of Web Information Systems,INT J WEB INF SYST,1744-0084,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",190,NA,0.21,4.04%,NA,NA,NA,NA,NA,212/246,Q4,14.02,0,0.036,0.126,NA,NA,Q3,36,100%,4.8,5.9,36,NA,NA
1533-8010,INFO MAN,Journal of Database Management,IGI Global Publishing,scopus,WoS,1,1,,NA,56,69,68,69,JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,1063-8016,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",350,2.656,0.46,0%,102/164,1.932,Q4,1.969,0.35,155/246,Q3,37.2,0,0.037,0.247,38.11,Q3,Q4,20,95%,8.8,5.4,19,NA,NA
2116-7052,INFO MAN,Journal of Decision Systems,Taylor & Francis,scopus,,1,1,1,NA,NA,58,60,64,Journal of Decision Systems,J DECIS SYST,1246-0125,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - ESCI,553,NA,0.3,6.45%,NA,NA,NA,NA,NA,86/100,Q4,14.5,0,0.093,0.227,NA,NA,Q3,55,96.36%,5.2,7.4,53,NA,NA
1558-7940,INFO MAN,Journal of Emerging Technologies in Accounting,American Accounting Association,scopus,,1,1,1,NA,NA,65,66,66,Journal of Emerging Technologies in Accounting,J EMERG TECHNOL ACCO,1554-1908,"BUSINESS, FINANCE - ESCI",424,NA,0.74,0%,NA,NA,NA,NA,NA,88/221,Q2,60.41,0.001,0.154,0.74,NA,NA,Q1,14,100%,4.3,4.8,14,NA,NA
1875-5879,INFO MAN,Journal of Informetrics,Elsevier,scopus,WoS,1,1,NA,NA,22,29,5,25,Journal of Informetrics,J INFORMETR,1751-1577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",5754,4.373,1.42,14.62%,45/112,7.413,Q1,3.66,0.68,28/156,Q1,82.37,0.006,1.244,1.517,60.27,Q2,Q1,100,99%,5.7,7.9,99,NA,NA
1533-287X,INFO MAN,Journal of Internet Commerce,Taylor & Francis,scopus,,1,1,NA,NA,NA,62,59,56,Journal of Internet Commerce,J INTERNET COMMER,1533-2861,BUSINESS - ESCI,918,NA,0.82,3.8%,NA,NA,NA,NA,NA,112/296,Q2,62.33,0.001,0.13,0.65,NA,NA,Q1,38,86.84%,5.2,7.6,33,NA,NA
1546-5012,INFO MAN,Journal of Organizational and End User Computing,IGI Global Publishing,scopus,WoS,1,1,1,1,NA,63,62,60,Journal of Organizational and End User Computing,J ORGAN END USER COM,1546-2234,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1003,7.4,1.82,64.6%,21/164,6.541,Q1,6.133,0.971,19/246,Q1,92.48,0.001,0.114,0.511,87.5,Q1,Q3,68,97.06%,3.3,7,66,NA,NA
1532-7744,INFO MAN,Journal of Organizational Computing and Electronic Com- merce,Taylor & Francis,scopus,WoS,1,1,1,NA,47,51,51,39,JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",654,2.237,0.56,4.08%,118/164,2.948,Q3,2.026,0.727,138/246,Q3,44.11,0,0.093,0.472,28.35,Q3,Q3,11,100%,7,6.9,11,NA,NA
0718-1876,INFO MAN,Journal of Theoretical and Applied Electronic Commerce Research,Multidisciplinary Digital Publishing Insti- tute (MDPI),scopus,WoS,1,1,1,NA,NA,41,49,45,Journal of Theoretical and Applied Electronic Commerce Research,J THEOR APPL EL COMM,0718-1876,BUSINESS - SSCI,1022,5.318,0.89,98.22%,70/154,4.363,Q3,4.159,1.635,103/296,Q2,65.37,0,0.086,0.462,54.87,Q2,Q4,181,95.58%,2.8,6.8,173,NA,NA
1477-8246,INFO MAN,Knowledge Management Research and Practice,Taylor & Francis,scopus,WoS,1,1,1,1,46,53,48,54,Knowledge Management Research & Practice,KNOWL MAN RES PRACT,1477-8238,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1754,3.054,0.78,8.19%,37/84,3.092,Q2,2.696,0.869,44/164,Q2,73.48,0.001,0.216,0.363,56.55,Q2,Q3,84,98.81%,5.3,9.9,83,NA,NA
1468-4535,INFO MAN,Online Information Review,Emerald,scopus,WoS,1,1,NA,NA,34,46,42,37,ONLINE INFORMATION REVIEW,ONLINE INFORM REV,1468-4527,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2629,2.901,0.74,1.09%,92/164,3.452,Q3,2.576,0.51,108/246,Q2,56.3,0.002,0.469,0.626,44.21,Q3,Q2,104,94.23%,6,7.2,98,NA,NA
1560-683X,INFO MAN,South African Journal of Information Management,AOSIS (pty) Ltd,,,1,1,1,NA,NA,NA,NA,NA,South African Journal of Information Management,S AFR J INFORM MANAG,2078-1865,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,292,NA,0.39,90.24%,NA,NA,NA,NA,NA,79/164,Q2,52.13,0,0.065,0.256,NA,NA,Q2,27,100%,4.9,6.5,27,NA,NA
1873-7625,INNOV,Research Policy,Elsevier,scopus,WoS,4*,4*,4,4,1,1,1,1,RESEARCH POLICY,RES POLICY,0048-7333,MANAGEMENT - SSCI,34484,9.473,2.27,21.33%,24/228,11.442,Q1,8.738,1.793,16/393,Q1,96.06,0.02,4.337,2.758,89.69,Q1,Q1,193,97.93%,10.4,10.3,189,NA,NA
1540-5885,INNOV,Journal of Product Innovation Management,Wiley-Blackwell,scopus,WoS,4,4,4,4,3,4,2,3,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,0737-6782,BUSINESS - SSCI,9830,9.885,1.63,34.34%,25/154,10.849,Q1,8.869,1.868,38/296,Q1,87.33,0.004,0.846,2.084,84.09,Q1,Q1,38,97.37%,9,11.2,37,NA,NA
1469-8390,INNOV,Industry and Innovation,Taylor & Francis,scopus,WoS,3,2,2,2,12,15,9,13,Industry and Innovation,IND INNOV,1366-2716,ECONOMICS - SSCI,2376,3.819,1.1,22.22%,94/381,4.674,Q1,3.528,0.682,120/572,Q1,79.11,0.002,0.506,1.037,75.46,Q1,Q2,44,100%,6.5,10.8,44,NA,NA
1573-7047,INNOV,Journal of Technology Transfer,Springer Nature,scopus,WoS,3,2,2,1,7,8,5,7,JOURNAL OF TECHNOLOGY TRANSFER,J TECHNOL TRANSFER,0892-9912,MANAGEMENT - SSCI,5148,5.337,1.11,27.74%,96/228,6.32,Q2,4.619,1.578,111/393,Q2,71.88,0.004,0.952,1.141,58.11,Q2,Q2,90,96.67%,5.7,10.8,87,NA,NA
1467-9310,INNOV,R and D Management,Wiley-Blackwell,scopus,WoS,3,3,3,3,9,10,10,10,R & D MANAGEMENT,R&D MANAGE,0033-6807,BUSINESS - SSCI,5155,5.962,1.13,24.4%,60/154,6.194,Q2,5.106,1.172,73/296,Q1,75.51,0.003,0.587,1.053,61.36,Q2,Q2,64,100%,10.2,8.7,64,NA,NA
1873-5509,INNOV,Technological Forecasting and Social Change,Elsevier,scopus,WoS,3,3,3,3,4,7,6,4,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,0040-1625,BUSINESS - SSCI,31070,10.884,2.4,11.92%,18/154,10.403,Q1,9.151,3.081,9/296,Q1,97.13,0.028,5.916,1.573,88.64,Q1,Q2,855,96.84%,3.8,6.8,828,NA,NA
1879-2383,INNOV,Technovation,Elsevier,scopus,WoS,3,3,3,3,2,3,3,2,TECHNOVATION,TECHNOVATION,0166-4972,"ENGINEERING, INDUSTRIAL - SCIE",9106,11.373,2.3,17.42%,3/50,11.833,Q1,10.4,2.786,2/64,Q1,97.66,0.003,0.699,1.97,95,Q1,Q1,103,97.09%,10.9,10.5,100,NA,NA
1467-8691,INNOV,Creativity and Innovation Management,Wiley-Blackwell,scopus,WoS,2,2,2,1,NA,13,12,11,Creativity and Innovation Management,CREAT INNOV MANAG,0963-1690,MANAGEMENT - SSCI,2714,3.644,0.84,25%,143/228,4.527,Q3,3.221,0.542,154/393,Q2,60.94,0.002,0.346,0.82,37.5,Q3,Q3,48,95.83%,7.7,9.3,46,NA,NA
2204-0226,INNOV,Innovation: Organization & Management,Taylor & Francis,scopus,WoS,2,2,2,NA,NA,19,20,19,Innovation-Organization & Management,INNOV-ORGAN MANAG,1447-9338,MANAGEMENT - SSCI,1059,2.453,0.55,15.24%,182/228,3.014,Q4,2.047,1.024,231/393,Q3,41.35,0.001,0.193,0.648,20.39,Q4,Q3,41,97.56%,6.4,10.5,40,NA,NA
1930-0166,INNOV,Research Technology Management,Taylor & Francis,scopus,WoS,2,2,2,NA,11,11,14,20,RESEARCH-TECHNOLOGY MANAGEMENT,RES TECHNOL MANAGE,0895-6308,BUSINESS - SSCI,1972,2.855,0.62,13.79%,120/154,4.446,Q3,2.545,0.344,152/296,Q3,48.82,0.001,0.196,0.738,22.4,Q4,Q3,32,100%,8.7,7.5,32,NA,NA
2243-4690,INNOV,Science and Technology Studies,The Finnish Society for Science and Technol- ogy Studies,scopus,WoS,2,2,2,NA,NA,17,16,18,Science and Technology Studies,SCI TECHNOL STUD,2243-4690,HISTORY & PHILOSOPHY OF SCIENCE - SSCI,335,3.105,1.59,10.71%,5/48,2.494,Q1,2.921,1.222,13/104,Q1,87.98,0.001,0.154,0.956,90.63,Q1,Q1,18,100%,3.8,11.1,18,NA,NA
1552-8251,INNOV,Science Technology and Human Values,SAGE,scopus,WoS,2,2,2,NA,6,5,7,8,SCIENCE TECHNOLOGY & HUMAN VALUES,SCI TECHNOL HUM VAL,0162-2439,SOCIAL ISSUES - SSCI,3789,3.634,1.5,35.19%,8/44,4.458,Q1,3.306,0.366,8/63,Q1,88.1,0.004,0.913,1.721,82.95,Q1,Q1,82,97.56%,10.3,8.4,80,NA,NA
1588-2861,INNOV,Scientometrics,Springer Nature,scopus,WoS,2,2,2,NA,10,9,8,9,SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",18464,3.801,0.91,20.55%,54/112,4.133,Q2,3.133,0.809,57/156,Q1,63.78,0.014,3.03,0.816,52.23,Q2,Q2,372,96.77%,7,7.6,360,NA,NA
1460-3659,INNOV,Social Studies of Science,SAGE,scopus,WoS,2,2,2,NA,5,2,4,5,SOCIAL STUDIES OF SCIENCE,SOC STUD SCI,0306-3127,HISTORY & PHILOSOPHY OF SCIENCE - AHCI,4606,2.781,2.61,43.94%,NA,4.352,NA,2.646,0.611,3/104,Q1,97.6,0.004,0.782,1.774,NA,NA,Q1,36,100%,14,10.2,36,NA,NA
2158-6721,INNOV,Asian Journal of Technology Innovation,Taylor & Francis,scopus,WoS,1,1,NA,NA,NA,NA,NA,NA,Asian Journal of Technology Innovation,ASIAN J TECHNOL INNO,1976-1597,BUSINESS - SSCI,474,1.769,0.45,3.09%,137/154,1.603,Q4,1.615,0.158,195/296,Q3,34.29,0,0.063,0.212,11.36,Q4,Q4,19,100%,6,7.3,19,NA,NA
1758-7115,INNOV,European Journal of Innovation Management,Emerald,scopus,WoS,1,1,1,1,NA,14,15,12,European Journal of Innovation Management,EUR J INNOV MANAG,1460-1060,BUSINESS - SSCI,2933,4.75,1.03,9.15%,80/154,4.85,Q3,3.778,1.143,82/296,Q2,72.47,0.002,0.334,0.615,48.38,Q3,Q3,119,96.64%,6.4,9.3,115,NA,NA
1740-8830,INNOV,International Journal of Innovation and Sustainable Devel- opment,Inderscience Publishers,scopus,,1,,NA,NA,NA,NA,NA,NA,International Journal of Innovation and Sustainable Development,INT J INNOV SUSTAIN,1740-8822,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI,415,NA,0.15,0%,NA,NA,NA,NA,NA,73/74,Q4,2.03,0,0.04,0.17,NA,NA,Q3,27,96.3%,8.7,10.3,26,NA,NA
1793-6950,INNOV,International Journal of Innovation and Technology Man- agement,World Scientific,scopus,,1,1,1,NA,NA,25,24,26,International Journal of Innovation and Technology Management,INT J INNOV TECHNOL,0219-8770,MANAGEMENT - ESCI,1553,NA,0.35,1.41%,NA,NA,NA,NA,NA,288/393,Q3,26.84,0.001,0.267,0.492,NA,NA,Q1,89,87.64%,2.7,7.4,78,NA,NA
1757-2231,INNOV,International Journal of Innovation Science,Emerald,scopus,,1,,NA,NA,NA,22,26,23,International Journal of Innovation Science,INT J INOV SCI,1757-2223,BUSINESS - ESCI,504,NA,0.55,2.11%,NA,NA,NA,NA,NA,166/296,Q3,44.09,0,0.09,0.307,NA,NA,Q2,73,93.15%,3,7.6,68,NA,NA
2444-569X,INNOV,Journal of Innovation and Knowledge,Elsevier,scopus,,1,,NA,NA,NA,NA,NA,NA,Journal of Innovation & Knowledge,J INNOV KNOWL,2530-7614,BUSINESS - SSCI,1304,11.219,2.56,97.8%,12/154,9.392,Q1,10.828,6.407,5/296,Q1,98.48,0.001,0.318,1.301,92.53,Q1,Q2,27,100%,2.4,9.2,27,NA,NA
